phi,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-4.886921905584122,-3.490658503988659,0.5,0.0,-4.886921905584122,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.031856118514560605,2.781047467934837,0.011454719447207589,0.012742447405824243
-4.886921905584122,-2.0943951023931957,0.5,0.0,-4.886921905584122,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.026869383967318968,2.8113277258339644,0.009557542409733933,0.010747753586927587
-4.886921905584122,-0.6981317007977319,0.5,0.0,-4.886921905584122,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02436207002848181,2.913349392410984,0.008362220505354708,0.009744828011392724
-4.886921905584122,0.6981317007977319,0.5,0.0,-4.886921905584122,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02436207002848181,2.913349392410984,0.008362220505354708,0.009744828011392724
-4.886921905584122,2.094395102393195,0.5,0.0,-4.886921905584122,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02686938396731952,2.81132772564987,0.009557542410359988,0.010747753586927807
-4.886921905584122,3.4906585039886586,0.5,0.0,-4.886921905584122,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03185611851456097,2.7810474679053634,0.01145471944732912,0.012742447405824388
-4.886921905584122,4.886921905584122,0.5,0.0,-4.886921905584122,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03900917688666418,2.8451370866128003,0.01371082506716943,0.015603670754665672
-4.886921905584122,6.283185307179586,0.5,0.0,-4.886921905584122,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
-3.490658503988659,-6.283185307179586,0.5,0.0,-3.490658503988659,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1833638661133243,2.647971664514638,0.06924691399480444,0.07334554644532973
-3.490658503988659,-4.886921905584122,0.5,0.0,-3.490658503988659,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.16316275753181828,2.5988871762745718,0.06278177791684951,0.06526510301272731
-3.490658503988659,-3.490658503988659,0.5,0.0,-3.490658503988659,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1321726406325168,2.735644185633618,0.048314997003860556,0.05286905625300672
-3.490658503988659,-2.0943951023931957,0.5,0.0,-3.490658503988659,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.11143585494969266,2.787491662956479,0.03997710788899766,0.044574341979877065
-3.490658503988659,-0.6981317007977319,0.5,0.0,-3.490658503988659,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.10113035326331568,2.7818807159691605,0.036353231352726625,0.040452141305326275
-3.490658503988659,0.6981317007977319,0.5,0.0,-3.490658503988659,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.10113035326331568,2.7818807159691605,0.036353231352726625,0.040452141305326275
-3.490658503988659,2.094395102393195,0.5,0.0,-3.490658503988659,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.11143585494969277,2.787491662987087,0.03997710788855873,0.044574341979877107
-3.490658503988659,3.4906585039886586,0.5,0.0,-3.490658503988659,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13217264063251655,2.7356441856346674,0.048314997003841925,0.05286905625300662
-3.490658503988659,4.886921905584122,0.5,0.0,-3.490658503988659,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.16316275753181828,2.5988871762745718,0.06278177791684951,0.06526510301272731
