phi,theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
0.6981317007977319,-0.6981317007977319,0.5,-0.6981317007977319,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673790198,2.730965821795036,0.4602342355763657,0.5027535869516079
0.6981317007977319,0.6981317007977319,0.5,0.6981317007977319,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673790198,2.730965821795036,0.4602342355763657,0.5027535869516079
0.6981317007977319,2.094395102393195,0.5,2.094395102393195,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673967513,2.7309715236267613,0.46023327468738856,0.5027535869587005
0.6981317007977319,3.4906585039886586,0.5,3.4906585039886586,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674003434,2.730972679662388,0.4602330798694491,0.5027535869601374
0.6981317007977319,4.886921905584122,0.5,4.886921905584122,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674018892,2.7309731767256933,0.4602329961031815,0.5027535869607557
0.6981317007977319,6.283185307179586,0.5,6.283185307179586,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
2.094395102393195,-6.283185307179586,0.5,-6.283185307179586,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875962,2.597632465348679,0.1920843052062103,0.19958577091503849
2.094395102393195,-4.886921905584122,0.5,-4.886921905584122,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272877354,2.597632275448065,0.19208431924863925,0.19958577091509416
2.094395102393195,-3.490658503988659,0.5,-3.490658503988659,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.49896442728799145,2.5976319342104763,0.19208434448187,0.19958577091519658
2.094395102393195,-2.0943951023931957,0.5,-2.0943951023931957,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272885868,2.5976311404729335,0.1920844031757887,0.19958577091543472
2.094395102393195,-0.6981317007977319,0.5,-0.6981317007977319,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272915107,2.597627226872678,0.1920846925723909,0.1995857709166043
2.094395102393195,0.6981317007977319,0.5,0.6981317007977319,2.094395102393195,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272915107,2.597627226872678,0.1920846925723909,0.1995857709166043
