theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,2.1598449493429825,-6.283185307179586,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,-0.9238795325112863,0.0
-6.283185307179586,2.356194490192345,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,6.972611193684197e-32,-1.0,6.972611193684197e-32
-6.283185307179586,2.552544031041707,-6.283185307179586,2.1170000166126752,2.1170000166126752,2.1170000166126752,5.500583128649987e-33,-0.9238795325112865,5.500583128649987e-33
-6.283185307179586,2.748893571891069,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-3.3003498771899936e-32,-0.7071067811865477,-3.3003498771899936e-32
-6.283185307179586,2.945243112740431,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,3.3003498771899936e-32,-0.3826834323650904,3.3003498771899936e-32
-6.283185307179586,3.141592653589793,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,2.801893875192553e-32,-2.449293598294706e-16,2.801893875192553e-32
-6.283185307179586,3.3379421944391554,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,0.0,0.38268343236508995,0.0
-6.283185307179586,3.5342917352885173,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,4.4004665029199915e-32,0.7071067811865474,4.4004665029199915e-32
-6.283185307179586,3.730641276137879,-6.283185307179586,2.1170000166126752,2.1170000166126752,2.1170000166126752,0.0,0.9238795325112863,0.0
-6.283185307179586,3.9269908169872414,-6.283185307179586,2.1170000166126752,2.117000016612675,2.1170000166126752,6.058450287606305e-32,0.9999999999999998,6.058450287606305e-32
-6.283185307179586,4.123340357836604,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-2.750291564324995e-32,0.9238795325112866,-2.750291564324995e-32
-6.283185307179586,4.319689898685965,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,4.4004665029199915e-32,0.7071067811865482,4.4004665029199915e-32
-6.283185307179586,4.516039439535327,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,0.38268343236509045,-1.1001166257299979e-32
-6.283185307179586,4.71238898038469,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-1.9762569013116167e-33,3.67394039744206e-16,-1.9762569013116167e-33
-6.283185307179586,4.908738521234052,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,3.850408190054993e-32,-0.38268343236508984,3.850408190054993e-32
-6.283185307179586,5.105088062083414,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,-0.7071067811865478,-1.1001166257299979e-32
-6.283185307179586,5.301437602932776,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,-0.9238795325112864,5.500583128649989e-33
-6.283185307179586,5.497787143782138,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,5.144289381528412e-32,-1.0,5.144289381528412e-32
-6.283185307179586,5.6941366846315,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-2.750291564324995e-32,-0.9238795325112866,-2.750291564324995e-32
-6.283185307179586,5.890486225480862,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,4.4004665029199915e-32,-0.7071067811865485,4.4004665029199915e-32
-6.283185307179586,6.086835766330224,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-5.500583128649989e-33,-0.38268343236509056,-5.500583128649989e-33
-6.283185307179586,6.283185307179586,-6.283185307179586,2.117000016612675,2.117000016612675,2.117000016612675,-3.197145255454877e-32,-4.898587196589413e-16,-3.197145255454877e-32
-6.283185307179586,-6.283185307179586,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,3.197145255454877e-32,4.898587196589413e-16,1.9762569013116167e-33
-6.283185307179586,-6.086835766330224,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,0.38268343236509056,3.3003498771899936e-32
-6.283185307179586,-5.890486225480862,-4.71238898038469,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,0.7071067811865485,-5.500583128649989e-33
