family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
lifted_chart_linear,3D,omega|theta|phi,rho,17,4913,4913,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,4.465042092769171,1.6104448906847078e-09,0.3030593959980499
lifted_chart_linear,3D,theta|phi|rho,omega,33,35937,35936,5.5652948214931685e-05,1,2,1.0,1.0,0.0,5.459505956704312,2.2565679299233488e-35,0.01485
lifted_chart_linear,3D,omega|phi|rho,theta,33,35937,35904,0.0018365472910927456,1,2,0.47048921771981794,2.125447220334627,0.0,4.226580647044575,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,3D,omega|theta|rho,phi,33,35937,35904,0.0018365472910927456,1,2,0.47048921771981794,2.125447220334627,0.0,4.670313236433664,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,3D,omega|theta|phi,rho,33,35937,35937,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,4.465042092769171,3.0169857941362685e-10,0.3030593959980499
lifted_chart_linear,3D,theta|phi|rho,omega,65,274625,274624,7.282658170232135e-06,1,2,1.0,1.0,0.0,5.459505956704312,2.2565679299233488e-35,0.01485
lifted_chart_linear,3D,omega|phi|rho,theta,65,274625,274560,0.00047337278106508875,1,2,0.47048921771981794,2.125447220334627,0.0,4.226580647044575,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,3D,omega|theta|rho,phi,65,274625,274560,0.00047337278106508875,1,2,0.47048921771981794,2.125447220334627,0.0,4.670313236433664,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,3D,omega|theta|phi,rho,65,274625,274625,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,4.465042092769171,1.4033877029565113e-10,0.3030593959980499
lifted_chart_linear,4D,omega|theta|phi|rho,,11,14641,14630,0.0015026296018031556,1,2,0.47048921771981794,2.125447220334627,0.0,5.459505956704312,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,4D,omega|theta|phi|rho,,17,83521,83504,0.0004070832485243232,1,2,0.47048921771981794,2.125447220334627,0.0,5.459505956704312,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,4D,omega|theta|phi|rho,,33,1185921,1185888,5.5652948214931685e-05,1,2,0.47048921771981794,2.125447220334627,0.0,5.459505956704312,1.105724956951256e-36,0.3030593959980499
